歩ける,終止形,歩ける,歩く
あるける,終止形,あるける,あるく
行ける,終止形,行ける,行く
いける,終止形,いける,いく
動ける,終止形,動ける,動く
うごける,終止形,うごける,うごく
おける,終止形,おける,おく
置ける,終止形,置ける,置く
おどろける,終止形,おどろける,おどろく
驚ける,終止形,驚ける,驚く
書ける,終止形,書ける,書く
かける,終止形,かける,かく
聞ける,終止形,聞ける,聞く
きける,終止形,きける,きく
聴ける,終止形,聴ける,聴く
着ける,終止形,着ける,着く
つける　,終止形,つける　,つく
なける,終止形,なける,なく
鳴ける,終止形,鳴ける,鳴く
泣ける,終止形,泣ける,泣く
履ける,終止形,履ける,はく
履ける,終止形,履ける,履く
働ける,終止形,働ける,働く
はたらける,終止形,はたらける,はたらく
引ける,終止形,引ける,引く
ひける,終止形,ひける,ひく
弾ける,終止形,弾ける,弾く
開ける,終止形,開ける,開く
ひらける,終止形,ひらける,ひらく
ふける,終止形,ふける,ふく
吹ける,終止形,吹ける,吹く
みがける,終止形,みがける,みがく
磨ける,終止形,磨ける,磨く
やける,終止形,やける,やく
焼ける,終止形,焼ける,焼く
急げる,終止形,急げる,急ぐ
いそげる,終止形,いそげる,いそぐ
泳げる,終止形,泳げる,泳ぐ
およげる,終止形,およげる,およぐ
さわげる,終止形,さわげる,さわぐ
騒げる,終止形,騒げる,騒ぐ
ぬげる,終止形,ぬげる,ぬぐ
脱げる,終止形,脱げる,脱ぐ
写せる,終止形,写せる,写す
うつせる,終止形,うつせる,うつす
起こせる,終止形,起こせる,起こす
おこせる,終止形,おこせる,おこす
押せる,終止形,押せる,押す
おせる,終止形,おせる,おす
落とせる,終止形,落とせる,落とす
おとせる,終止形,おとせる,おとす
思い出せる,終止形,思い出せる,思い出す
おもいだせる,終止形,おもいだせる,おもいだす
返せる,終止形,返せる,返す
かえせる,終止形,かえせる,かえす
貸せる,終止形,貸せる,貸す
かせる,終止形,かせる,かす
消せる,終止形,消せる,消す
けせる,終止形,けせる,けす
こわせる,終止形,こわせる,こわす
壊せる,終止形,壊せる,壊す
さがせる,終止形,さがせる,さがす
探せる,終止形,探せる,探す
させる,終止形,させる,さす
差せる,終止形,差せる,差す
足せる,終止形,足せる,足す
たせる,終止形,たせる,たす
出せる,終止形,出せる,出す
だせる,終止形,だせる,だす
取り消せる,終止形,取り消せる,取り消す
とりけせる,終止形,とりけせる,とりけす
取消せる,終止形,取消せる,取消す
なおせる,終止形,なおせる,なおす
直せる,終止形,直せる,直す
話せる,終止形,話せる,話す
はなせる,終止形,はなせる,はなす
引っこせる,終止形,引っこせる,引っこす
引っ越せる,終止形,引っ越せる,引っ越す
引越せる,終止形,引越せる,引越す
わたせる,終止形,わたせる,わたす
渡せる,終止形,渡せる,渡す
死ねる,終止形,死ねる,死ぬ
しね,終止形,しね,しぬ
かめる,終止形,かめる,かむ
噛める,終止形,噛める,噛む
進める,終止形,進める,進む
すすめる,終止形,すすめる,すすむ
すめる,終止形,すめる,すむ
住める,終止形,住める,住む
楽しめる,終止形,楽しめる,楽しむ
たのしめる,終止形,たのしめる,たのしむ
たのめる,終止形,たのめる,たのむ
頼める,終止形,頼める,頼む
つつめる,終止形,つつめる,つつむ
包める,終止形,包める,包む
ぬすめる,終止形,ぬすめる,ぬすむ
盗める,終止形,盗める,盗む
飲める,終止形,飲める,飲む
のめる,終止形,のめる,のむ
ふめる,終止形,ふめる,ふむ
踏める,終止形,踏める,踏む
もうしこめる,終止形,もうしこめる,もうしこむ
申し込める,終止形,申し込める,申し込む
申込める,終止形,申込める,申込む
休める,終止形,休める,休む
やすめる,終止形,やすめる,やすむ
読める,終止形,読める,読む
よめる,終止形,よめる,よむ
あそべる,終止形,あそべる,あそぶ
遊べる,終止形,遊べる,遊ぶ
えらべる,終止形,えらべる,えらぶ
選べる,終止形,選べる,選ぶ
とべる,終止形,とべる,とぶ
飛べる,終止形,飛べる,飛ぶ
ならべる,終止形,ならべる,ならぶ
並べる,終止形,並べる,並ぶ
運べる,終止形,運べる,運ぶ
はこべる,終止形,はこべる,はこぶ
呼べる,終止形,呼べる,呼ぶ
よべる,終止形,よべる,よぶ
よろこべる,終止形,よろこべる,よろこぶ
喜べる,終止形,喜べる,喜ぶ
会える,終止形,会える,会う
あえる,終止形,あえる,あう
合える,終止形,合える,合う
洗える,終止形,洗える,洗う
あらえる,終止形,あらえる,あらう
言える,終止形,言える,言う
いえる,終止形,いえる,いう
歌える,終止形,歌える,歌う
うたえる,終止形,うたえる,うたう
行える,終止形,行える,行う
おこなえる,終止形,おこなえる,おこなう
思える,終止形,思える,思う
おもえる,終止形,おもえる,おもう
買える,終止形,買える,買う
かえる,終止形,かえる,かう
かまえる,終止形,かまえる,かまう
構える,終止形,構える,構う
通える,終止形,通える,通う
かよえる,終止形,かよえる,かよう
すえる,終止形,すえる,すう
吸える,終止形,吸える,吸う
ちがえる,終止形,ちがえる,ちがう
違える,終止形,違える,違う
使える,終止形,使える,使う
つかえる,終止形,つかえる,つかう
手伝える,終止形,手伝える,手伝う
てつだえる,終止形,てつだえる,てつだう
習える,終止形,習える,習う
ならえる,終止形,ならえる,ならう
はらえる,終止形,はらえる,はらう
払える,終止形,払える,払う
拾える,終止形,拾える,拾う
ひろえる,終止形,ひろえる,ひろう
むかえる,終止形,むかえる,むかう
向かえる,終止形,向かえる,向かう
もらえる,終止形,もらえる,もらう
貰える,終止形,貰える,貰う
わらえる,終止形,わらえる,わらう
笑える,終止形,笑える,笑う
うてる,終止形,うてる,うつ
打てる,終止形,打てる,打つ
かてる,終止形,かてる,かつ
勝てる,終止形,勝てる,勝つ
立てる,終止形,立てる,立つ
たてる,終止形,たてる,たつ
待てる,終止形,待てる,待つ
まてる,終止形,まてる,まつ
持てる,終止形,持てる,持つ
もてる,終止形,もてる,もつ
集まれる,終止形,集まれる,集まる
あつまれる,終止形,あつまれる,あつまる
上がれる,終止形,上がれる,上がる
あがれる,終止形,あがれる,あがる
あれる,終止形,あれる,ある
いのれる,終止形,いのれる,いのる
祈れる,終止形,祈れる,祈る
うつれる,終止形,うつれる,うつる
移れる,終止形,移れる,移る
売れる,終止形,売れる,売る
うれる,終止形,うれる,うる
送れる,終止形,送れる,送る
おくれる,終止形,おくれる,おくる
おこれる,終止形,おこれる,おこる
怒れる,終止形,怒れる,怒る
おどれる,終止形,おどれる,おどる
踊れる,終止形,踊れる,踊る
おれる,終止形,おれる,おる
折れる,終止形,折れる,折る
かかれる,終止形,かかれる,かかる
掛かれる,終止形,掛かれる,掛かる
かぶれる,終止形,かぶれる,かぶる
被れる,終止形,被れる,被る
かざれる,終止形,かざれる,かざる
飾れる,終止形,飾れる,飾る
がんばれる,終止形,がんばれる,がんばる
頑張れる,終止形,頑張れる,頑張る
切れる,終止形,切れる,切る
きれる,終止形,きれる,きる
さわれる,終止形,さわれる,さわる
触れる,終止形,触れる,触る
しかれる,終止形,しかれる,しかる
叱れる,終止形,叱れる,叱る
知れる,終止形,知れる,知る
しれる,終止形,しれる,しる
すべる,終止形,すべる,すべる
すべれる,終止形,すべれる,滑る
座れる,終止形,座れる,座る
すわれる,終止形,すわれる,すわる
作れる,終止形,作れる,作る
つくれる,終止形,つくれる,つくる
つれる,終止形,つれる,つる
釣れる,終止形,釣れる,釣る
通れる,終止形,通れる,通る
とおれる,終止形,とおれる,とおる
止まれる,終止形,止まれる,止まる
止まれる,終止形,止まれる,とまる
とまれる,終止形,とまれる,とまる
泊まれる,終止形,泊まれる,泊まる
とれる,終止形,とれる,とる
撮れる,終止形,撮れる,撮る
取れる,終止形,取れる,取る
なおれる,終止形,なおれる,なおる
治れる,終止形,治れる,治る
直れる,終止形,直れる,直る
なれる,終止形,なれる,なる
ぬれる,終止形,ぬれる,ぬる
塗れる,終止形,塗れる,塗る
ねむれる,終止形,ねむれる,ねむる
眠れる,終止形,眠れる,眠る
残れる,終止形,残れる,残る
のこれる,終止形,のこれる,のこる
のぼれる,終止形,のぼれる,のぼる
登れる,終止形,登れる,登る
上れる,終止形,上れる,上る
乗れる,終止形,乗れる,乗る
のれる,終止形,のれる,のる
入れる,終止形,入れる,入る
はいれる,終止形,はいれる,はいる
走れる,終止形,走れる,走る
はしれる,終止形,はしれる,はしる
はれる,終止形,はれる,はる
張れる,終止形,張れる,張る
太れる,終止形,太れる,太る
ふとれる,終止形,ふとれる,ふとる
まいれる,終止形,まいれる,まいる
参れる,終止形,参れる,参る
曲がれる,終止形,曲がれる,曲がる
まがれる,終止形,まがれる,まがる
回れる,終止形,回れる,回る
まわれる,終止形,まわれる,まわる
やれる,終止形,やれる,やる
よれる,終止形,よれる,よる
寄れる,終止形,寄れる,寄る
分かれる,終止形,分かれる,分かる
わかれる,終止形,わかれる,わかる
わたれる,終止形,わたれる,わたる
渡れる,終止形,渡れる,渡る
歩け,連用形,歩ける,歩く
あるけ,連用形,あるける,あるく
行け,連用形,行ける,行く
いけ,連用形,いける,いく
動け,連用形,動ける,動く
うごけ,連用形,うごける,うごく
おけ,連用形,おける,おく
置け,連用形,置ける,置く
おどろけ,連用形,おどろける,おどろく
驚け,連用形,驚ける,驚く
書け,連用形,書ける,書く
かけ,連用形,かける,かく
聞け,連用形,聞ける,聞く
きけ,連用形,きける,きく
聴け,連用形,聴ける,聴く
着け,連用形,着ける,着く
つける　,連用形,つける　,つく
なけ,連用形,なける,なく
鳴け,連用形,鳴ける,鳴く
泣け,連用形,泣ける,泣く
履け,連用形,履ける,はく
履け,連用形,履ける,履く
働け,連用形,働ける,働く
はたらけ,連用形,はたらける,はたらく
引け,連用形,引ける,引く
ひけ,連用形,ひける,ひく
弾け,連用形,弾ける,弾く
開け,連用形,開ける,開く
ひらけ,連用形,ひらける,ひらく
ふけ,連用形,ふける,ふく
吹け,連用形,吹ける,吹く
みがけ,連用形,みがける,みがく
磨け,連用形,磨ける,磨く
やけ,連用形,やける,やく
焼け,連用形,焼ける,焼く
急げ,連用形,急げる,急ぐ
いそげ,連用形,いそげる,いそぐ
泳げ,連用形,泳げる,泳ぐ
およげ,連用形,およげる,およぐ
さわげ,連用形,さわげる,さわぐ
騒げ,連用形,騒げる,騒ぐ
ぬげ,連用形,ぬげる,ぬぐ
脱げ,連用形,脱げる,脱ぐ
写せ,連用形,写せる,写す
うつせ,連用形,うつせる,うつす
起こせ,連用形,起こせる,起こす
おこせ,連用形,おこせる,おこす
押せ,連用形,押せる,押す
おせ,連用形,おせる,おす
落とせ,連用形,落とせる,落とす
おとせ,連用形,おとせる,おとす
思い出せ,連用形,思い出せる,思い出す
おもいだせ,連用形,おもいだせる,おもいだす
返せ,連用形,返せる,返す
かえせ,連用形,かえせる,かえす
貸せ,連用形,貸せる,貸す
かせ,連用形,かせる,かす
消せ,連用形,消せる,消す
けせ,連用形,けせる,けす
こわせ,連用形,こわせる,こわす
壊せ,連用形,壊せる,壊す
さがせ,連用形,さがせる,さがす
探せ,連用形,探せる,探す
させ,連用形,させる,さす
差せ,連用形,差せる,差す
足せ,連用形,足せる,足す
たせ,連用形,たせる,たす
出せ,連用形,出せる,出す
だせ,連用形,だせる,だす
取り消せ,連用形,取り消せる,取り消す
とりけせ,連用形,とりけせる,とりけす
取消せ,連用形,取消せる,取消す
なおせ,連用形,なおせる,なおす
直せ,連用形,直せる,直す
話せ,連用形,話せる,話す
はなせ,連用形,はなせる,はなす
引っこせ,連用形,引っこせる,引っこす
引っ越せ,連用形,引っ越せる,引っ越す
引越せ,連用形,引越せる,引越す
わたせ,連用形,わたせる,わたす
渡せ,連用形,渡せる,渡す
死ね,連用形,死ねる,死ぬ
しね,連用形,しね,しぬ
かめ,連用形,かめる,かむ
噛め,連用形,噛める,噛む
進め,連用形,進める,進む
すすめ,連用形,すすめる,すすむ
すめ,連用形,すめる,すむ
住め,連用形,住める,住む
楽しめ,連用形,楽しめる,楽しむ
たのしめ,連用形,たのしめる,たのしむ
たのめ,連用形,たのめる,たのむ
頼め,連用形,頼める,頼む
つつめ,連用形,つつめる,つつむ
包め,連用形,包める,包む
ぬすめ,連用形,ぬすめる,ぬすむ
盗め,連用形,盗める,盗む
飲め,連用形,飲める,飲む
のめ,連用形,のめる,のむ
ふめ,連用形,ふめる,ふむ
踏め,連用形,踏める,踏む
もうしこめ,連用形,もうしこめる,もうしこむ
申し込め,連用形,申し込める,申し込む
申込め,連用形,申込める,申込む
休め,連用形,休める,休む
やすめ,連用形,やすめる,やすむ
読め,連用形,読める,読む
よめ,連用形,よめる,よむ
あそべ,連用形,あそべる,あそぶ
遊べ,連用形,遊べる,遊ぶ
えらべ,連用形,えらべる,えらぶ
選べ,連用形,選べる,選ぶ
とべ,連用形,とべる,とぶ
飛べ,連用形,飛べる,飛ぶ
ならべ,連用形,ならべる,ならぶ
並べ,連用形,並べる,並ぶ
運べ,連用形,運べる,運ぶ
はこべ,連用形,はこべる,はこぶ
呼べ,連用形,呼べる,呼ぶ
よべ,連用形,よべる,よぶ
よろこべ,連用形,よろこべる,よろこぶ
喜べ,連用形,喜べる,喜ぶ
会え,連用形,会える,会う
あえ,連用形,あえる,あう
合え,連用形,合える,合う
洗え,連用形,洗える,洗う
あらえ,連用形,あらえる,あらう
言え,連用形,言える,言う
いえ,連用形,いえる,いう
歌え,連用形,歌える,歌う
うたえ,連用形,うたえる,うたう
行え,連用形,行える,行う
おこなえ,連用形,おこなえる,おこなう
思え,連用形,思える,思う
おもえ,連用形,おもえる,おもう
買え,連用形,買える,買う
かえ,連用形,かえる,かう
かまえ,連用形,かまえる,かまう
構え,連用形,構える,構う
通え,連用形,通える,通う
かよえ,連用形,かよえる,かよう
すえ,連用形,すえる,すう
吸え,連用形,吸える,吸う
ちがえ,連用形,ちがえる,ちがう
違え,連用形,違える,違う
使え,連用形,使える,使う
つかえ,連用形,つかえる,つかう
手伝え,連用形,手伝える,手伝う
てつだえ,連用形,てつだえる,てつだう
習え,連用形,習える,習う
ならえ,連用形,ならえる,ならう
はらえ,連用形,はらえる,はらう
払え,連用形,払える,払う
拾え,連用形,拾える,拾う
ひろえ,連用形,ひろえる,ひろう
むかえ,連用形,むかえる,むかう
向かえ,連用形,向かえる,向かう
もらえ,連用形,もらえる,もらう
貰え,連用形,貰える,貰う
わらえ,連用形,わらえる,わらう
笑え,連用形,笑える,笑う
うて,連用形,うてる,うつ
打て,連用形,打てる,打つ
かて,連用形,かてる,かつ
勝て,連用形,勝てる,勝つ
立て,連用形,立てる,立つ
たて,連用形,たてる,たつ
待て,連用形,待てる,待つ
まて,連用形,まてる,まつ
持て,連用形,持てる,持つ
もて,連用形,もてる,もつ
集まれ,連用形,集まれる,集まる
あつまれ,連用形,あつまれる,あつまる
上がれ,連用形,上がれる,上がる
あがれ,連用形,あがれる,あがる
あれ,連用形,あれる,ある
いのれ,連用形,いのれる,いのる
祈れ,連用形,祈れる,祈る
うつれ,連用形,うつれる,うつる
移れ,連用形,移れる,移る
売れ,連用形,売れる,売る
うれ,連用形,うれる,うる
送れ,連用形,送れる,送る
おくれ,連用形,おくれる,おくる
おこれ,連用形,おこれる,おこる
怒れ,連用形,怒れる,怒る
おどれ,連用形,おどれる,おどる
踊れ,連用形,踊れる,踊る
おれ,連用形,おれる,おる
折れ,連用形,折れる,折る
かかれ,連用形,かかれる,かかる
掛かれ,連用形,掛かれる,掛かる
かぶれ,連用形,かぶれる,かぶる
被れ,連用形,被れる,被る
かざれ,連用形,かざれる,かざる
飾れ,連用形,飾れる,飾る
がんばれ,連用形,がんばれる,がんばる
頑張れ,連用形,頑張れる,頑張る
切れ,連用形,切れる,切る
きれ,連用形,きれる,きる
さわれ,連用形,さわれる,さわる
触れ,連用形,触れる,触る
しかれ,連用形,しかれる,しかる
叱れ,連用形,叱れる,叱る
知れ,連用形,知れる,知る
しれ,連用形,しれる,しる
すべ,連用形,すべる,すべる
すべれ,連用形,すべれる,滑る
座れ,連用形,座れる,座る
すわれ,連用形,すわれる,すわる
作れ,連用形,作れる,作る
つくれ,連用形,つくれる,つくる
つれ,連用形,つれる,つる
釣れ,連用形,釣れる,釣る
通れ,連用形,通れる,通る
とおれ,連用形,とおれる,とおる
止まれ,連用形,止まれる,止まる
止まれ,連用形,止まれる,とまる
とまれ,連用形,とまれる,とまる
泊まれ,連用形,泊まれる,泊まる
とれ,連用形,とれる,とる
撮れ,連用形,撮れる,撮る
取れ,連用形,取れる,取る
なおれ,連用形,なおれる,なおる
治れ,連用形,治れる,治る
直れ,連用形,直れる,直る
なれ,連用形,なれる,なる
ぬれ,連用形,ぬれる,ぬる
塗れ,連用形,塗れる,塗る
ねむれ,連用形,ねむれる,ねむる
眠れ,連用形,眠れる,眠る
残れ,連用形,残れる,残る
のこれ,連用形,のこれる,のこる
のぼれ,連用形,のぼれる,のぼる
登れ,連用形,登れる,登る
上れ,連用形,上れる,上る
乗れ,連用形,乗れる,乗る
のれ,連用形,のれる,のる
入れ,連用形,入れる,入る
はいれ,連用形,はいれる,はいる
走れ,連用形,走れる,走る
はしれ,連用形,はしれる,はしる
はれ,連用形,はれる,はる
張れ,連用形,張れる,張る
太れ,連用形,太れる,太る
ふとれ,連用形,ふとれる,ふとる
まいれ,連用形,まいれる,まいる
参れ,連用形,参れる,参る
曲がれ,連用形,曲がれる,曲がる
まがれ,連用形,まがれる,まがる
回れ,連用形,回れる,回る
まわれ,連用形,まわれる,まわる
やれ,連用形,やれる,やる
よれ,連用形,よれる,よる
寄れ,連用形,寄れる,寄る
分かれ,連用形,分かれる,分かる
わかれ,連用形,わかれる,わかる
わたれ,連用形,わたれる,わたる
渡れ,連用形,渡れる,渡る
